абхазия абхазию абхазия
август августа
австралийский австралийское
австралия австралия
австрия австрия
автодорога автодороги
автомобиль автомобилей
автономный автономного
авторство авторства
агалег агалега
агентство агентства агентство
агломерация агломераций
агропроизводство агропроизводство
административный административные
аз аза
азербайджан азербайджан
азия азия
аландский аландские
алб алб
албания албания
алжир алжир
алкоголь алкоголя
алфавит алфавиту
алюминий алюминия
америка америка
американский американское
ангилья ангилья
англ англ
ангола ангола
андорра андорра
антигуа антигуа
апрель апрель апреля
ар ар
аравия аравия
аргентина аргентина аргентиной
армения армения
армия армия
аруба аруба
архивировать архивированная архивировано
архивный архивная
афганистан афганистан
африка африка
аэропорт аэропорты
багамский багамские
базаев базаев
баланс баланс
бангладеш бангладеш
барбадос барбадос
барбуда барбуда
бахрейн бахрейн
безопасность безопасности
беларускать беларуская
беларусь беларусь
белиз белиз
бельгия бельгия
бенин бенин
берег берег
бермудский бермудские
биг биг
бизнес бизнес бизнеса
благотворительность благотворительность
боковой боковую
бокситовый бокситов
болгария болгарии болгария
боливия боливия
большинство большинство
бонайра бонайре
босния босния
ботсвана ботсвана
бразилия бразилия
бритый брит
бруней бруней
брчко брчко
бумага бумаги
буркина-фасо буркина-фасо
бурунди бурунди
бутан бутан
български български
бюджет бюджет
бюро бюро
ваидти вашла
вануату вануату
ватикан ватикан
ввп ввп
ведение ведения
великий великие
великобритания великобритания
венгрия венгрия
венесуэла венесуэла
версия версия
ветроэнергетика ветроэнергетика
вид вид
викидать викиданных
викимедиа викимедиа
викиновость викиновости
википедия википедии википедия
вино вино
виргинский виргинские
висмут висмута
включать включает
владение владения
внешнеторговый внешнеторговый
внешний внешние внешний
водный водные
военный военная военный
возобновлять возобновляемые
возраст возраст
войти войти
вооружённый вооружённые
вопрос вопросам
восприятие восприятие
восточный восточный
время времени
всегда всегда
всеобщий всеобщей
выпуск выпуск
высота высоты
вьетнам вьетнам
г г
габон габон
газ газ газа
гаити гаити
гайана гайана
гамбия гамбия
гана гана
гваделупа гваделупа
гватемала гватемала
гвиана гвиана
гвинея гвинея
гвинея-бисау гвинея-бисау
гендерный гендерного
география география
геотермальный геотермальная
германия германия
гернси гернси
герцеговина герцеговина
гибралтар гибралтар
гидроэнергетик гидроэнергетика
главное главное
глобальный глобальная
год год года году
гондурас гондурас
гонконг гонконг
город городов
город-миллионер города-миллионеры городов-миллионеров
городской городских городского городское
государственный государственной
государство государств государства государство государством
грамотность грамотность
граница границ
гренада гренада
гренадин гренадины
гренландия гренландии гренландия
греция греция
гречиха гречиха
грузия грузия
группа группы
гуам гуам
гучмазов гучмазова
далее далее
дания дания
дата дата даты
дать данные
действие действия
действовать действовать
декабрь декабря
демографический демографических
демография демография
демократический демократическая
департамент департамент департамента
держава державы
джервис-бей джервис-бей
джерси джерси
джибути джибути
динамический динамические
длина длина
добавить добавить
добыча добыча
долг долг
должный должны
доминик доминика
доминиканский доминиканская
дополнительный дополнительные
дорога дороги
доступный доступен
доход дохода доходов
другой других
европа европа
египет египет
единица единицы
елена елены
ес ес
естествознание естествознание
железный железной железные
жизнь жизни
жилищный жилищного
житель жителей
зависеть зависит
зависимый зависимая зависимые зависимых
заглавный заглавная
заключить заключённые
замбия замбия
заморский заморские
западный западная западный
запас запасы
запись запись
зарегистрировать зарегистрированный
зарплата зарплата
зассеева зассеева
заявление заявление
збекча збекча
здоровье здоровья
зел зел
зеландия зеландия
земля земли землю
зимбабве зимбабве
знак знак
золотовалютный золотовалютные
золотой золотой
ивр ивр
ивуар ивуар
избранный избранные
израиль израиль
ик ик
икт икт
иметь иметь
импорт импорт
имя имя
индекс индекс индексу
индия индия
индон индон
индонезия индонезия
институт институт
инструмент инструменты
интернет интернета
информационный информационные информационный
информация информация
иордан иордан
иордания иордания
ирак ирак ирака
иран иран
ирландия ирландия
исландия исландия
исп исп
испания испания
использование использование использования
история история
источник источник источники
итал итал
италия италия
итог итоги
июль июля
июнь июня
йемен йемен
кабо-верде кабо-верде
казахстан казахстан
кайкос кайкос
кайманов каймановы
каледония каледония
камбоджа камбоджа
камерун камерун
канада канада канады
каргадос-карахос каргадос-карахос
картон картона
картофель картофель
катар катар
категория категории
качество качество
кения кения
кипр кипр
кирибати кирибати
китай китай
китайский китайская
клуб клуб
кндр кндр
код код
кодекс кодекс
кокаин кокаина
кокосовый кокосовые кокосовых
количество количество количеству
колумбия колумбия
комитет комитет
комма комм
комментарий комментарии
коморы комор коморы
компьютер компьютеров
компьютерный компьютерная
конго конго
конкурентоспособность конкурентоспособность
контакт контакты
контролировать контролирующей
конфиденциальность конфиденциальности
копия копия
корея корея
короткий короткий
коррупция коррупции
космический космический
космонавт космонавты
космонавтика космонавтика
косово косово
коста-рика коста-рика
кот-д кот-д
который которого которой
коэффициент коэффициент коэффициенту
край края
крым крым
крымский крымского
куба куба
кувейт кувейт
кук кука куки
кукуруза кукуруза
кыргызский кыргызской
кыргызстан кыргызстан
кыргызча кыргызча
кюрасао кюрасао
лаос лаос
латвия латвия
латстат латстат
лесото лесото
либерия либерия
ливана ливан
ливия ливия
литва литва
лихтенштейн лихтенштейн
лицензия лицензии
льшать льшая
люксембург люксембург
лёгкость лёгкость
м м
маврикий маврикий
мавритания мавритания
мадагаскар мадагаскар
май мая
майотта майотта
макао макао
македония македония
македонски македонски
макроэкономика макроэкономика
максимальный максимальные
малави малави
малайзия малайзия
мали мали
мальвинский мальвинские
мальдивы мальдивы
мальта мальта
маор маоре
марганец марганца
марианский марианские
марокко марокко
март марта
мартиника мартиника
маршаллов маршалловы
математик математика
материал материал
мацз мацзу
медь меди
международный международного
мексика мексика
меню меню
метохия метохия
метрополия метрополии
мигрант мигранты
микелон микелон
микронезия микронезия
минимальный минимальная минимальные
министерство министерство
мир мир мира
миролюбие миролюбие
младенческий младенческая
мобильный мобильная
мозамбик мозамбик
молдавский молдавской
молдова молдова
молоко молоко
монако монако
монгол монгол
монголия монголия
монтсеррат монтсеррат монтсеррата
морской морские
мочь могут
мьянма мьянма
мэн мэн
навигация навигация
найти найти
налогообложение налогообложение
намибия намибия
народ народа
население население населению населения
населить населённых
населять населяют
наука наука
науру науру
научный научные
национальный национальной национальный
начало начало
неверный неверным
невис невис
невозобновляемый невозобновляемые
недееспособность недееспособность
неименованный неименованный
некоммерческий некоммерческой
некорректный некорректное
немецкий немецкий
немой нем
непал непал
непризнанный непризнанное непризнанным
непустой непустой
неравенство неравенства неравенство
нефть нефти нефть
нигер нигер
нигерия нигерия
нид нид
нидерланды нидерланды
никарагуа никарагуа
ниуэ ниуэ
новый нов новая новые
номинал номинал
норвегия норвегия
норфолк норфолк
ноябрь ноября
нська нська
оаэ оаэ
область областей
оборот оборот
образование образование образования
обращение обращения
обсуждение обсуждение
общий общее
объект объектом
океания океания
оккупация оккупация
округ округа округе
октябрь октябрь октября
олово олова
оман оман
оон оон
операция операций
описание описание
организация организации
оригинал оригинала
осетия осетию осетия
оснащённость оснащённость
основный основное
оспариваться оспаривается
остров остров острова островах островов
ответственность ответственности
ответственный ответственные
отдельный отдельных
отказ отказ
отобразить отобразить
отражать отражают
отредактировать отредактирована
отсортировать отсортированный
отход отходы
официальный официальная официальный
оценивать оценивает
оценка оценка оценке оценки
ошибка ошибке
пакистан пакистан
палау палау
палестина палестина
панама панама
панель панель
папуа папуа
парагвай парагвай
параметр параметр параметром параметры
патент патентов
перевозка перевозки
перейти перейти
переместить переместить
перепись переписи перепись
персональный персональные
перу перу
пескадорский пескадорские
печать печати печать
пиво пива
питкэрна питкэрн
планирование планированию
плотность плотности плотность
площадь площади площадь
поведение поведения
подробный подробнее
пожертвовать пожертвовать
поиск поиск
показатель показателей
полинезия полинезия
политика политика
политический политический
полиция полиция
полуостров полуострова
получить получила получить
пользователь пользователей
польша польша
помидор помидоры
порт порт
портал портал
португалия португалия
порядок порядке
последний последний
постоянный постоянная постоянного
посёлок поселков
потенциал потенциал
потребление потребление
ппс ппс
править править
правка правки
право права
представить представлен
пресса прессы
привести приведённых
приводиться приводятся
приднестровский приднестровской
приднестровье приднестровье
признавать признают
признание признания
признанный признанное
примечание примечания
принсипи принсипи
природный природный
прирост прирост
прогноз прогноз
прогресс прогресс
продолжительность продолжительность
проект проектах
производство производство
промышленный промышленное
процена процене
публикация публикации
пустой пуст
путешествие путешествий
путь пути
пухаева пухаева
пуэрто-рико пуэрто-рико
пшеница пшеница
р р
раз раз
развитие развития
различный различные
разногласие разногласий
разработчик разработчики
разрез разрезе
район районов
расположить расположены
распределение распределении
реальный реальном
регион регионов
режим режим
резерв резерв резервы
рейтинг рейтинг
река реки
республика республика республике республики республику
реформа реформам
реюньон реюньон
рис рис
рк рк
родригес родригес
рождаемость рождаемости рождаемость
рождество рождества
рожь рожь
россия россией россии россия
рост роста
рохинджа рохинджа
руанда руанда
руда руды
румыния румыния
русский русский
русый рус
рыба рыба
ряд ряды
саба саба
сайт сайт
сальвадор сальвадор
самоа самоа
самоубийство самоубийства
самый самых
сан-марино сан-марино
сан-томе сан-томе
саудовский саудовская
сахар сахара
сведение сведения
свежий свежие
свобода свобода
свободный свободной
связанный связанные
связаться свяжитесь
святой святой
севастополь севастополь
северный северная северные северный
сейшельский сейшельские
сексуальный сексуального
сектор сектор
сен-бартелеми сен-бартелеми
сен-мартен сен-мартен
сен-пьер сен-пьер
сенегал сенегал
сент-винсент сент-винсент
сент-китс сент-китс
сент-люсия сент-люсия
сентябрь сентября
сербия сербия
сербский сербской
сигарета сигарет
сила силы
сингапур сингапур
синт-мартен синт-мартен
синт-эстатиус синт-эстатиус
сирия сирия
сиукаева сиукаева
скачать скачать
скрытый скрытые
скрыть скрыть
словакия словакии словакия
словения словения
сложность сложность
служба служба
служебный служебные
случай случаях
случайный случайная
смертность смертность
смотреть см
событие события
совершеннолетие совершеннолетие
согласие согласия
содержание содержание содержанию
создать создать
солнечный солнечная
соломонов соломоновы
сомали сомали
сомалиленд сомалиленд
сообщество сообщество
сообщить сообщить
состояние состоянию
состоять состоит
сохранение сохранением
социальный социальный социальным
социология социология
список списки список
сплошной сплошной
спорный спорную
справка справка
спутник спутники
сравнительный сравнительные
среднегодовой среднегодовая
средний среднее средняя
српски српски
српскохрватски српскохрватски
ссылка ссылка ссылки
стандарт стандарте
становништво становништва
статистика статистика статистики
статистический статистическая статистический статистическое
стать стали
статья статьи статья
столица столиц
страна стран странам
страница страница странице страницу страницы
стратегический стратегическому
субнациональный субнациональный
судан судан
суммарный суммарному суммарный
суринам суринам
счастие счастье
счётчик счётчик
сша сша
сьерра-леоне сьерра-леоне
сюда сюда
табак табака
таджикистан таджикистан
таиланд таиланд
тайвань тайвань
тайск тайск
танзания танзания
тарашкева тарашкев
текст текст
текущий текущее текущие текущих
тема тему
темп темп
теркс теркс
территориальный территориальных
территория территории территорий территорию территория
технология технологии
тибиловый тибилов
тимор тимор
тип типа
тобаго тобаго
товарный товарный
токелау токелау
томат томат
тонга тонга
торговый торговый
транспорт транспорт
тревелгуд тревелгуд
тринидад тринидад
трубопровод трубопроводы
тувалу тувалу
тунис тунис
туркменистан туркменистан туркменистана
турция турция
убийство убийства
убывание убывания
уганда уганда
уголь угля уголь
узбекистан узбекистан
указание указанием
указать указан
укра укра
украина украина украиной
умышленный умышленные
уоллис уоллис
управление управление
уран уран
уругвай уругвай
условие условий условия
участие участие
учёт учёта учётом
учётный учётную
фактически фактически
фактический фактические
фарер фарер
фарерский фарерские
февраль февраля
федеральный федеральная
федерация федерации
фиджи фиджи
филиппина филиппины
финляндия финляндия
фолклендский фолклендские
фонд фонд фонда
форум форум
фр фр
франция франция
французский французская
футуна футуна
х х
хорватия хорватия
ца ца
цар цар
целлюлоза целлюлозы
цемент цемента
центральный центральное
цзиньмынь цзиньмынь
цинк цинка
цитировать цитировать
цхинвал цхинвал
ч ч
чадо чад
частично частично
часть часть
человек человек человека
человеческий человеческий человеческого
черногория черногория
чехия чехия
чили чили
численность численности численность
число числе числу
читать читать
чтение чтение
чугун чугуна
шаблон шаблон шаблона
швейцария швейцария
швеция швеции швеция
шри-ланка шри-ланка
штат штатов
эквадор эквадор
экваториальный экваториальная
экологический экологическая
экология экология
экономический экономическая экономическим экономического
экспорт экспорт
электронный электронные
электроэнергетика электроэнергетика
элемент элемент
эмиссия эмиссия
энергия энергии
энергоноситель энергоносители
энциклопедия энциклопедии
эритрея эритрея
эсватиня эсватини
эстония эстония
эстстат эстстат
этот эту
эфиопия эфиопия
эффективность эффективность
юар юар
южный южная южную южный
яблоко яблоки
являться является
ядерный ядерный
язык язык языка языках
ямайка ямайка
январь января
япония япония
ячмень ячмень
