абхазия абхазию
австралия австралия
австрия австрия
автодорога автодороги
автомобиль автомобилей
авторство авторства
агропроизводство агропроизводство
аз аза
азербайджан азербайджан
азия азия
албания албания
алжир алжир
алкоголь алкоголя
алфавитный алфавитный
алюминий алюминия
америка америка
американский американское
англ англ
ангола ангола
андорра андорра
антигуа антигуа
апрель апрель апреля
аравия аравия
аргентина аргентина
армения армения
армия армия
аруба аруба
архивировать архивировано
афганистан афганистан
африка африка
аэропорт аэропорты
багамский багамские
баланс баланс
бангладеш бангладеш
банк банк банка
барбадос барбадос
барбуда барбуда
бахрейн бахрейн
безопасность безопасности
беларускать беларуская
беларусь беларусь
белиз белиз
бельгия бельгия
бенин бенин
бермуды бермуды
бизнес бизнес бизнеса
благотворительность благотворительность
боковой боковую
бокситовый бокситов
болгария болгария
боливия боливия
босния босния
ботсвана ботсвана
бразилия бразилия
бруней бруней
бумага бумаги
буркина-фасо буркина-фасо
бурунди бурунди
бутан бутан
български български
бюджет бюджет
валовый валового
валюта валюты
валютный валютного валютный валютным
вануату вануату
вб вб
ввп ввп
ведение ведения
великий великие
великобритания великобритания
величина величине величиной
венгрия венгрия
венесуэла венесуэла
версия версия версиях
ветроэнергетика ветроэнергетика
вид вид
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
вино вино
виргинский виргинские
висмут висмута
внешнеторговый внешнеторговый
внешний внешний
внутренний внутреннего
водный водные
военный военная военный
возобновлять возобновляемые
возраст возраст
войти войти
вооружённый вооружённые
вопрос вопросам
восприятие восприятие
восточный восточный
врп врп
всемирный всемирного всемирный
входящий входящих
выносить выносить
высота высоты
вьетнам вьетнам
габон габон
газ газ газа
гаити гаити
гайана гайана
гамбия гамбия
гана гана
гватемала гватемала
гвинея гвинея
гвинея-бисау гвинея-бисау
гендерный гендерного
география география
геотермальный геотермальная
германия германия
герцеговина герцеговина
гибралтар гибралтар
гидроэнергетик гидроэнергетика
главное главное
глобальный глобальная
год год года годы
гондурас гондурас
гонконг гонконг
город городов
город-миллионер города-миллионеры
городской городское
государство государств государство
грамотность грамотность
граница границ
грена грен
гренада гренада
гренадин гренадины
гренландия гренландия
греция греция
гречиха гречиха
грузия грузия
дания дания
данные данным
дата дата
дать данные
дважды дважды
действие действия
действовать действовать
дем дем
демография демография
держава державы
десяток десятков
джибути джибути
длина длина
добавить добавить
добыча добыча
долг долг
долл долл
доллар доллар долларов
долларовый долларовом
доля доля
доминик доминика
доминиканский доминиканская
дополнительный дополнительные
дорога дороги
достигать достигать
доступный доступен
доход дохода доходов
др др
другой другие других
душа душу
еврозона еврозона еврозону
европа европа
европейский европейский
евросоюз евросоюз
египет египет
единый единый
ежегодно ежегодно
естествознание естествознание
железный железной железные
жизнь жизни
житель жителей
зависимый зависимых
заглавный заглавная
заключить заключённые
замбия замбия
запас запасы
запись запись
зарегистрировать зарегистрированный
зарплата зарплата
заявление заявление
збекча збекча
здоровье здоровья
зеландия зеландия
зимбабве зимбабве
знак знак
значение значения значениях
золотовалютный золотовалютные
золотой золотой
ивуар ивуар
избранный избранные
изменение изменение
израиль израиль
икт икт
импорт импорт
индекс индекс индексу
индия индия
индонезия индонезия
иной ином
инструмент инструменты
интернет интернета
информационный информационные
иордания иордания
ирак ирак
иран иран
ирландия ирландия
исландия исландия
испания испания
использование использования
история история
источник источник источники
италия италия
июль июля
йемен йемен
кабо-верде кабо-верде
казахстан казахстан
кайкос кайкос
кайманов каймановы
какой-либо какие-либо
камбоджа камбоджа
камерун камерун
канада канада
картон картона
картофель картофель
катар катар
категория категория
качество качество
кения кения
кипр кипр кипра
кирибати кирибати
китай китай китая
китайский китайская китайскую
клуб клуб
кндр кндр
кнр кнр
код код
кодекс кодекс
кокаин кокаина
количество количество
колумбия колумбия
коморы коморы
компьютер компьютеров
компьютерный компьютерная
конго конго
конечный конечных
конкурентоспособность конкурентоспособность
контакт контакты
контролировать контролируемой
конфиденциальность конфиденциальности
корея корея
короткий короткий
коррупция коррупции
космический космический
космонавт космонавты
космонавтика космонавтика
косово косово
коста-рика коста-рика
кот-д кот-д
который которых
коэффициент коэффициент коэффициентами
критика критика
куба куба
кувейт кувейт
кук куки
кукуруза кукуруза
кыргызстан кыргызстан
кыргызча кыргызча
кюрасао кюрасао
ланка ланка
лаос лаос
латвия латвия
лесото лесото
либерия либерия
ливана ливан
ливия ливия
литва литва
лихтенштейн лихтенштейн
лицензия лицензии
люксембург люксембург
лёгкость лёгкость
маврикий маврикий
мавритания мавритания
мадагаскар мадагаскар
май мая
макао макао
македония македония
макроэкономика макроэкономика
макроэкономический макроэкономические
максимальный максимальные
малави малави
малайзия малайзия
мали мали
мальдивы мальдивы
мальта мальта
марганец марганца
марокко марокко
маршаллов маршалловы
математик математика
материал материал
мвф мвф
медь меди
международный международного международным международных
мексика мексика
меню меню
мигрант мигранты
микронезия микронезия
миллиард миллиардах
минимальный минимальная минимальные
мир мир мира мире
миролюбие миролюбие
младенческий младенческая
млрд млрд
мобильный мобильная
мозамбик мозамбик
молдова молдова
молоко молоко
монако монако
монголия монголия
морской морские
мочь могут
мьянма мьянма
навигация навигация
найти найти
налогообложение налогообложение
намеренный намерен
намибия намибия
наносить наносить
население население населению населения
наука наука
науру науру
научный научные
начало начало
невис невис
невозобновляемый невозобновляемые
недееспособность недееспособность
некоммерческий некоммерческой
некоторый некоторых
непал непал
неравенство неравенства неравенство
нефть нефти нефть
нигер нигер
нигерия нигерия
нидерланды нидерланды
никарагуа никарагуа
новый нов новая новые
номинал номинал
норвегия норвегия
ноябрь ноября
нська нська
о-в о-ва
оаэ оаэ
оборот оборот
образование образование образования
обращение обращения
обсе обсе
обсуждение обсуждение
общий общее
один один
океания океания
окончательный окончательному
октябрь октябрь октября
олово олова
оман оман
оон оон
операция операций
описание описание
организация организации
осетия осетию
оснащённость оснащённость
основной основные
основный основная основное
остров острова
ответственность ответственности
отдельный отдельных
отказ отказ
отличаться отличается
относиться относятся
отобразить отобразить
отредактировать отредактирована
отход отходы
официальный официальной
ошибка ошибке
пакистан пакистан
палау палау
палестина палестина
панама панама
панель панель
папуа папуа
парагвай парагвай
паритет паритету
патент патентов
перевозка перевозки
перейти перейти
переместить переместить
перерасчитать перерасчитаны
перерасчитывать перерасчитывают
перерасчёт перерасчёта
пересчёт пересчёта
период период
персональный персональные
перу перу
печать печати печать
пиво пива
плотность плотности плотность
площадь площади площадь
поведение поведения
подробный подробнее
подсчёт подсчётам
пожертвовать пожертвовать
поиск поиск
показатель показатели
покупательный покупательной покупательную
полагаться полагаясь
политика политика
политический политический
полиция полиция
получить полученной получить
пользователь пользователей
польша польша
помидор помидоры
помощь помощи
поправка поправкой
португалия португалия
последний последний
постоянный постоянная
потенциал потенциал
потребление потребление
ппс ппс
правительство правительством
править править
правка правки
право права
правовой правовом
пресса прессы
претензия претензий
привести приведены приведён
приднестровье приднестровье
пример пример
примечание примечания
принсипи принсипи
природный природный
прирост прирост
прогноз прогноз
прогресс прогресс
продолжительность продолжительность
продукт продукта
проект проектах
произвести произведённый
производство производство
промышленный промышленное
процент процентах процентов
прошедшее прошедшие
публикация публикации
путь пути
пуэрто-рико пуэрто-рико
пшеница пшеница
раз раз
развитие развития
разница разница
разный разными
разработчик разработчики
расположить расположены
распределение распределении
рассчитать рассчитанного
реализовать реализованных
режим режим
резерв резерв резервы
рейтинг рейтинг
респ респ
республика республика республику
решение решению
рис рис
рождаемость рождаемость
рожь рожь
российский российской
россия россия
рост роста росту
руанда руанда
руда руды
румыния румыния
русский русский
рыба рыба
сальвадор сальвадор
самоа самоа
самоубийство самоубийства
сан-марино сан-марино
сан-томе сан-томе
саудовский саудовская
сведение сведения
свежий свежие
свобода свобода
свободный свободной
связанный связанные
связаться свяжитесь
северный северная
сейшельский сейшельские
сексуальный сексуального
сенегал сенегал
сент-винсент сент-винсент
сент-китс сент-китс
сент-люсия сент-люсия
сербия сербия
сесть сев
сигарета сигарет
сила силы
сингапур сингапур
синт-мартен синт-мартен
сирия сирия
скачать скачать
скобка скобках
скрыть скрыть
словакия словакия
словения словения
сложность сложность
служебный служебные
случай случаях
случайный случайная
смертность смертность
смотреть см
событие события
совершеннолетие совершеннолетие
согласие согласия
содержание содержание содержанию
создать создать
солнечный солнечная
соломонов соломоновы
сомали сомали
сообщество сообщество
сообщить сообщить
соответствие соответствии
соответствующий соответствующих
сохранение сохранением
социальный социальный
социология социология
союз союз
список списки список
способность способности способность
справка справка
спутник спутники
сравнение сравнения
сравнительный сравнительные
средний среднее средняя
ссылка ссылка ссылки
статистика статистика статистики
статус статусе
стать стали
статья статьи статья
стоимость стоимостью
сторона сторон
страна стран страна страны
страница страница странице страницу страницы
субнациональный субнациональный
судан судан
суждение суждения
суммарный суммарный
суринам суринам
существовать существуют
счастие счастье
сша сша
сьерра-леоне сьерра-леоне
сюда сюда
табак табака
таджикистан таджикистан
таиланд таиланд
тайвань тайвань
танзания танзания
тарашкева тарашкев
текст текст
текущий текущее текущие текущих
тема тему
темп темп темпам
теркс теркс
термин термина
территория территории территорий территория
технология технологии
тимор тимор
тобаго тобаго
товар товаров
товарный товарный
томат томат
тонга тонга
торговый торговый
транспорт транспорт
тринидад тринидад
трубопровод трубопроводы
тувалу тувалу
тунис тунис
туркменистан туркменистан
турция турция
убийство убийства
уганда уганда
уголь угля уголь
узбекистан узбекистан
указание указанием
указать указан
укра укра
украина украина украины
умышленный умышленные
уран уран
уровень уровень
уругвай уругвай
условие условий условия
услуга услуг
участие участие
учёт учётом
учётный учётную
ущерб ущерб
фарерский фарерские
федерация федерации
фиджи фиджи
фиксировать фиксированной
филиппина филиппины
финляндия финляндия
фонд фонд фонда фондом
форум форум
франция франция
хорватия хорватия
ца ца
цар цар
целлюлоза целлюлозы
цемент цемента
цена цен ценах
цинк цинка
цитировать цитировать
чадо чад
человек человека
человеческий человеческий человеческого
черногория черногория
чехия чехия
чили чили
число числу
читать читать
чтение чтение
чугун чугуна
швейцария швейцария
швеция швеция
шри шри
шри-ланка шри-ланка
эквадор эквадор
экваториальный экваториальная
эквивалент эквиваленте
экологический экологическая
экология экология
экономика экономика экономике
экономический экономическая экономические
экспорт экспорт
электронный электронные
электроэнергетика электроэнергетика
элемент элемент
эмиссия эмиссия
энергия энергии
энергоноситель энергоносители
энциклопедия энциклопедии
эритрея эритрея
эсватиня эсватини
эстония эстония
эфиопия эфиопия
эффективность эффективность
юар юар
южный южная южную южный
яблоко яблоки
являться является
ядерный ядерный
язык языках языков
ямайка ямайка
январь января
япония япония
ячмень ячмень
