аббревиатура аббревиатуры
авар авар
август августа
австралазия австралазия
австралия австралию австралия
австрия австрия
австро-венгрия австро-венгрии
автомобильный автомобильные
авторство авторства
административный административные
адресный адресная
аз аза
азербайджан азербайджан
албания албания
алжир алжир
альбервиль альбервиль
альпы альпы
америка америка
американский американские американское
ампеццо ампеццо
амстердам амстердам
англ англ
ангола ангола
андорра андорра
антверпен антверпен
антигуа антигуа
антильский антильские
апрель апреля
аравия аравия
аргентина аргентина
армения армения
аруба аруба
архивировать архивировано
атланта атланта
атлет атлеты
афганистан афганистан афганистана
афины афины
аэропорт аэропортов
багамский багамские
база база
бангладеш бангладеш
барбадос барбадос
барбуда барбуда
барселона барселона
баскетбольный баскетбольном
бахрейн бахрейн
баш баш
беженец беженцев
безопасность безопасности
беларускать беларуская
беларусь беларусь
белиз белиз
белоруссия белоруссии
бельгия бельгия
бенин бенин
берлин берлин
бермудский бермудские
билл билла
бирма бирма
богемия богемия
боковой боковую
болгария болгария
боливия боливия
борнео борнео
босния босния
ботсвана ботсвана
бразилия бразилия
брисбен брисбен
британский британские британский
бруней бруней
буркина-фасо буркина-фасо
бурунди бурунди
бутан бутан
валюта валют
ванкувер ванкувер
вануату вануату
ввести введён
великобритания великобритания
венгрия венгрия
венесуэла венесуэла
версия версия
верхний верхняя
вест-индия вест-индии
взять взято
вид вид видам виды
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
виргинский виргинские
вмо вмо
внеочередной внеочередные
внешний внешний
воздушный воздушных
возникнуть возникших
война войны
войти войти
вольт вольта
вопрос вопросам
восточный восточного восточный
временно временно
время время
всегда всегда
вторжение вторжения
второй второй
входить входит
выборы выборы
выйти вышли
выступать выступавших выступали
вьетнам вьетнам
габон габон
гаити гаити
гайана гайана
гамбия гамбия
гана гана
гармиша-партенкирхена гармиш-партенкирхен
гватемала гватемала
гвинея гвинея
гвинея-бисау гвинея-бисау
гдр гдр
геодезический геодезические
геокод геокоды
геокодирование геокодирования
герб гербы
германия германии германия
германский германская
герцеговина герцеговина
главное главное
глобальный глобальные
глоссарий глоссарии глоссарий
год год года году
гондурас гондурас
гонконг гонконг
гост гост
государственный государственные государственный
государство государств
гренада гренада
гренадин гренадины
гренобль гренобль
греция греция
грузия грузия
группа групп
гуам гуам
дагомей дагомея
дания дания
данные данных
данный данный
дата дата
девиз девизы
действие действия
действовать действовал действовать
декабрь декабря
деятельность деятельность
джибути джибути
дисквалифицировать дисквалифицированы
добавить добавить
доминик доминика
доминиканский доминиканская
допинговый допингового
дополнительный дополнительные
доступный доступен
др др
другой других другой
египет египет
единица единицы
ес ес
ещё ещё
заглавный заглавная
заир заир
замбия замбия
замена замену
западный западной западный
запись запись
запрет запрета
запрос запросы
зарегистрировать зарегистрирован зарегистрированный
зачёт зачёт
заявление заявление
збекча збекча
зеландия зеландию зеландия
зимбабве зимбабве
зимний зимние
знак знак знаки
зоя зои
иата иата
ивуар ивуар
игра играх игры
игрок игроки
избранный избранные
изменить изменен изменённые
измениться изменился
израиль израиль
икао икао
имя имена имён
индекс индексов индексы
индивидуальный индивидуальные
индийский индийскими
индия индии индия
индонезия индонезия
инсбрук инсбрук
инструмент инструменты
интернет-домен интернет-домены
информационный информационные информационный
информация информацию
иордания иордания
ирак ирак
иран иран ирана
ирландия ирландия
исландия исландия
исо исо
испания испания
использование использование использования
использоваться использовался использоваться используется используются
история история
источник источник источника источники источников
исчезнуть исчезнувших
италия италия
июнь июня
йемен йемен йемена
кабо-верде кабо-верде
каждый каждое
казахстан казахстан
кайманов каймановы
какой какого
какой-либо каким-либо
калгари калгари
камбоджа камбоджа
камерун камерун
канада канада
катар катар
категория категории
кения кения
кипр кипр
кирибати кирибати
китай китай
китайский китайских
кндр кндр
код код кода кодами кодах кодов коды
кодекс кодекс
кодовый кодовые
колумбия колумбия
команда команд команда
комитет комитет комитета комитетов комитетом
коморы коморы
конго конго
контакт контакты
конфиденциальность конфиденциальности
координация координации
корея корея
королевство королевства
короткий короткий
кортина-д кортина-д
косово косово
коста-рика коста-рика
кот-д кот-д
который которые который которым которых
куба куба
кувейт кувейт кувейта
кук кука куки
кхмерский кхмерская
кыргызстан кыргызстан
кыргызча кыргызча
кюрасао кюрасао
лаос лаос
латвия латвии латвия
лейк-плэсид лейк-плэсид
лесото лесото
летний летние
либерия либерия
ливана ливан
ливия ливия
лиллехаммер лиллехаммер
литва литва
лихтенштейн лихтенштейн
лицензия лицензии
локатор локатор
лондон лондон
лос-анджелес лос-анджелес
люксембург люксембург
маврикий маврикий
мавритания мавритания
мадагаскар мадагаскар
македония македония
македонски македонски
малави малави
малайзия малайзии малайзия
малайя малайя
мали мали
маллоно маллона
мальдивы мальдивы
мальта мальта
марокко марокко
март марта
маршаллов маршалловы
материал материал
медалист медалисты
медальный медальный
международный международный международным международных
мексика мексика
мелкий мелкие
мельбурн мельбурн
меню меню
место мест
мехико мехико
микронезия микронезии
милан-кортина-д милан-кортина-д
мировой мировой
множество множестве
мобильный мобильная
мозамбик мозамбик
мокнуть мок
молдова молдова
момент момент
монако монако
монголия монголия
монреаль монреаль
москва москва
мочь могут можете
мпк мпк
мьянма мьянма
мюнхен мюнхен
навигация навигация
нагано нагано
название название названием
найти найти
намибия намибия
настоящий настоящее
науру науру
национальный национальных
начало начало началу
начинать начиная
невис невис
независимый независимые независимых
неиспользоваться неиспользующиеся
нейтральный нейтральном нейтральные
некоммерческий некоммерческой
необходимо необходимо
непал непал
несколько несколько
нигер нигер
нигерия нигерия
нидерландский нидерландские нидерландского
нидерланды нидерланды
никарагуа никарагуа
новый новая новую новые
нок нок
норвегия норвегия
ноябрь ноября
нпк нпк
нська нська
оар оар
оаэ оаэ
обозначение обозначение обозначения
обращение обращения
обсуждение обсуждение
объединение объединения
объединить объединённая
ов ов
один один
окр окр
октмый октмо
олимпиада олимпиаде
олимпийский олимпийская олимпийские олимпийский олимпийским олимпийских олимпийского
оман оман
оон оон
оператор операторов
описание описание
определить определить
определённый определённые
организация организации организаций
ортс ортса
оскм оскм
осло осло
основа основу
основное основном
основный основное
остаться осталось
остров острова островов
ответственность ответственности
отдельный отдельное отдельных
отказ отказ
открытие открытия
отличительный отличительных
отменить отменены
отобразить отобразить
отредактировать отредактирована
отстранить отстранён
ошибка ошибке
пакистан пакистан
палау палау
